School,Player_Type,Position_Type,Position,Drafted,Team
Baylor,offense,backs_receivers,WR,Yes,Tennessee Titans
Oklahoma St.,defense,defensive_back,FS,Yes,Tennessee Titans
Clemson,defense,defensive_back,CB,Yes,Tennessee Titans
Michigan,defense,defensive_lineman,DT,Yes,Tennessee Titans
Texas,defense,line_backer,ILB,Yes,Washington Redskins
Michigan St.,offense,backs_receivers,QB,Yes,Washington Redskins
South Dakota,offense,offensive_lineman,OT,Yes,Washington Redskins
SMU,offense,offensive_lineman,OG,Yes,Washington Redskins
Florida Atlantic,offense,backs_receivers,RB,Yes,Washington Redskins
Baylor,offense,backs_receivers,QB,Yes,Washington Redskins
Iowa,offense,offensive_lineman,OG,Yes,Washington Redskins
LSU,defense,defensive_back,CB,Yes,Arizona Cardinals
Texas A&M,offense,backs_receivers,WR,Yes,Arizona Cardinals
LSU,defense,line_backer,ILB,Yes,Arizona Cardinals
Stanford,offense,backs_receivers,RB,Yes,Arizona Cardinals
Rutgers,offense,backs_receivers,TE,Yes,Arizona Cardinals
North Carolina,offense,offensive_lineman,OG,Yes,Arizona Cardinals
James Madison,offense,offensive_lineman,OG,Yes,Arizona Cardinals
Texas,defense,defensive_lineman,DE,Yes,Arizona Cardinals
Clemson,offense,backs_receivers,RB,Yes,Arizona Cardinals
Washington,defense,defensive_back,CB,Yes,Atlanta Falcons
TCU,defense,defensive_lineman,DE,Yes,Atlanta Falcons
Stanford,offense,backs_receivers,TE,Yes,Atlanta Falcons
Clemson,defense,defensive_lineman,DE,Yes,Atlanta Falcons
Duke,offense,backs_receivers,QB,Yes,Atlanta Falcons
SE Louisiana,defense,defensive_back,CB,Yes,Atlanta Falcons
Notre Dame,defense,defensive_back,SS,Yes,Atlanta Falcons
Kansas St.,defense,line_backer,OLB,Yes,Baltimore Ravens
Notre Dame,defense,defensive_lineman,DT,Yes,Baltimore Ravens
Florida,defense,defensive_back,SS,Yes,Baltimore Ravens
Wisconsin,offense,offensive_lineman,OT,Yes,Baltimore Ravens
California,defense,defensive_back,CB,Yes,Baltimore Ravens
Ohio St.,defense,line_backer,OLB,Yes,Baltimore Ravens
Missouri Southern,defense,defensive_lineman,DT,Yes,Baltimore Ravens
Elon,offense,backs_receivers,WR,Yes,Baltimore Ravens
Florida St.,special_teams,kicking_specialist,K,Yes,Buffalo Bills
USC,offense,backs_receivers,WR,Yes,Buffalo Bills
Nevada,defense,defensive_back,SS,Yes,Buffalo Bills
Florida St.,offense,backs_receivers,QB,Yes,Buffalo Bills
Texas,offense,backs_receivers,WR,Yes,Buffalo Bills
Arkansas,offense,backs_receivers,TE,Yes,Buffalo Bills
Oregon,defense,line_backer,ILB,Yes,Buffalo Bills
Purdue,defense,defensive_lineman,DT,Yes,Carolina Panthers
Utah,defense,defensive_lineman,DT,Yes,Carolina Panthers
Oregon,offense,backs_receivers,RB,Yes,Carolina Panthers
Iowa St.,defense,line_backer,ILB,Yes,Carolina Panthers
Valdosta St.,offense,offensive_lineman,OG,Yes,Carolina Panthers
Louisiana Tech,offense,offensive_lineman,OT,Yes,Chicago Bears
Rutgers,defense,line_backer,OLB,Yes,Chicago Bears
Florida,defense,line_backer,OLB,Yes,Chicago Bears
Washington St.,offense,backs_receivers,WR,Yes,Chicago Bears
Oregon,offense,offensive_lineman,OG,Yes,Chicago Bears
Georgia,defense,defensive_lineman,DE,Yes,Chicago Bears
Kansas,offense,offensive_lineman,OT,Yes,Cincinnati Bengals
South Carolina,offense,offensive_lineman,C,Yes,Cincinnati Bengals
North Carolina,offense,backs_receivers,RB,Yes,Cincinnati Bengals
Texas A&M,defense,line_backer,OLB,Yes,Cincinnati Bengals
Ohio St.,offense,offensive_lineman,OT,Yes,Cincinnati Bengals
Notre Dame,offense,backs_receivers,TE,Yes,Cincinnati Bengals
Georgia,defense,defensive_back,SS,Yes,Cincinnati Bengals
Arkansas,offense,backs_receivers,WR,Yes,Cincinnati Bengals
Nebraska,offense,backs_receivers,RB,Yes,Cincinnati Bengals
SMU,defense,defensive_lineman,DE,Yes,Cincinnati Bengals
Notre Dame,defense,defensive_back,SS,Yes,Cleveland Browns
San Diego St.,defense,defensive_back,CB,Yes,Cleveland Browns
LSU,defense,line_backer,OLB,Yes,Cleveland Browns
Chadron St.,offense,offensive_lineman,OT,Yes,Cleveland Browns
East Central (OK),defense,defensive_lineman,DE,Yes,Cleveland Browns
Georgia Southern,defense,defensive_back,SS,Yes,Dallas Cowboys
South Carolina,defense,line_backer,OLB,Yes,Dallas Cowboys
Baylor,offense,backs_receivers,WR,Yes,Dallas Cowboys
Oklahoma St.,offense,backs_receivers,RB,Yes,Dallas Cowboys
San Diego St.,offense,backs_receivers,TE,Yes,Dallas Cowboys
Wisconsin,offense,offensive_lineman,C,Yes,Dallas Cowboys
William & Mary,defense,defensive_back,CB,Yes,Dallas Cowboys
South Florida,defense,defensive_back,CB,Yes,Denver Broncos
Miami (OH),offense,backs_receivers,QB,Yes,Denver Broncos
Wisconsin,offense,backs_receivers,RB,Yes,Denver Broncos
Virginia Tech,offense,offensive_lineman,OT,Yes,Denver Broncos
North Carolina,defense,defensive_lineman,DT,Yes,Denver Broncos
Georgia,offense,backs_receivers,WR,Yes,Denver Broncos
Western Kentucky,defense,defensive_lineman,DE,Yes,Denver Broncos
Mississippi St.,defense,defensive_back,CB,Yes,Detroit Lions
Notre Dame,offense,backs_receivers,RB,Yes,Detroit Lions
BYU,defense,defensive_lineman,DE,Yes,Detroit Lions
Virginia Tech,offense,backs_receivers,WR,Yes,Detroit Lions
South Carolina,defense,defensive_lineman,DE,Yes,Detroit Lions
Kentucky,offense,offensive_lineman,OG,Yes,Detroit Lions
Florida A&M,defense,line_backer,ILB,Yes,Detroit Lions
Cornell,offense,offensive_lineman,OG,Yes,Green Bay Packers
Alabama,offense,backs_receivers,RB,Yes,Green Bay Packers
UCLA,defense,defensive_lineman,DE,Yes,Green Bay Packers
Iowa,defense,defensive_back,CB,Yes,Green Bay Packers
UCLA,offense,backs_receivers,RB,Yes,Green Bay Packers
Mississippi St.,defense,defensive_lineman,DT,Yes,Green Bay Packers
South Florida,defense,line_backer,ILB,Yes,Green Bay Packers
Colorado,offense,offensive_lineman,OT,Yes,Green Bay Packers
Bowling Green,defense,defensive_lineman,DT,Yes,Houston Texans
LSU,defense,defensive_lineman,DE,Yes,Houston Texans
Jacksonville St.,offense,backs_receivers,WR,Yes,Houston Texans
North Carolina,offense,offensive_lineman,OT,Yes,Houston Texans
San Jose St.,offense,offensive_lineman,OT,Yes,Houston Texans
South Carolina,defense,defensive_back,FS,Yes,Houston Texans
Clemson,offense,backs_receivers,WR,Yes,Houston Texans
Connecticut,defense,line_backer,OLB,Yes,Houston Texans
USC,offense,offensive_lineman,C,Yes,Indianapolis Colts
South Carolina,offense,backs_receivers,TE,Yes,Indianapolis Colts
Illinois,offense,offensive_lineman,OG,Yes,Indianapolis Colts
Utah St.,offense,backs_receivers,RB,Yes,Indianapolis Colts
Florida St.,defense,defensive_lineman,DE,Yes,Indianapolis Colts
Oregon,defense,defensive_back,FS,Yes,Indianapolis Colts
Tennessee-Martin,defense,defensive_lineman,DT,Yes,Indianapolis Colts
South Carolina,offense,backs_receivers,WR,Yes,Jacksonville Jaguars
Connecticut,defense,defensive_back,CB,Yes,Jacksonville Jaguars
Appalachian St.,defense,defensive_back,CB,Yes,Jacksonville Jaguars
Florida International,defense,defensive_back,SS,Yes,Jacksonville Jaguars
Florida,defense,defensive_back,FS,Yes,Jacksonville Jaguars
Texas A&M,offense,offensive_lineman,OT,Yes,Jacksonville Jaguars
Michigan,offense,backs_receivers,WR,Yes,Jacksonville Jaguars
Arkansas,offense,backs_receivers,RB,Yes,Kansas City Chiefs
Cincinnati,offense,backs_receivers,TE,Yes,Kansas City Chiefs
Kansas St.,offense,backs_receivers,FB,Yes,Kansas City Chiefs
Central Michigan,offense,offensive_lineman,OT,Yes,Kansas City Chiefs
Georgia,defense,defensive_back,CB,Yes,Kansas City Chiefs
Alabama,defense,line_backer,ILB,Yes,Kansas City Chiefs
California,offense,backs_receivers,WR,Yes,San Diego Chargers
Notre Dame,defense,line_backer,ILB,Yes,San Diego Chargers
Southern Utah,offense,backs_receivers,QB,Yes,San Diego Chargers
Alabama,offense,offensive_lineman,OT,Yes,San Diego Chargers
Florida International,defense,defensive_lineman,DE,Yes,San Diego Chargers
California,defense,defensive_back,CB,Yes,San Diego Chargers
Vanderbilt,offense,backs_receivers,RB,Yes,St. Louis Rams
Georgia,defense,line_backer,OLB,Yes,St. Louis Rams
Miami (FL),defense,defensive_back,CB,Yes,St. Louis Rams
USC,defense,defensive_back,FS,Yes,St. Louis Rams
Alabama,offense,offensive_lineman,C,Yes,St. Louis Rams
West Virginia,offense,backs_receivers,WR,Yes,St. Louis Rams
West Virginia,offense,backs_receivers,WR,Yes,St. Louis Rams
Tennessee,offense,offensive_lineman,OT,Yes,Miami Dolphins
Florida,offense,backs_receivers,RB,Yes,Miami Dolphins
Boise St.,defense,defensive_back,CB,Yes,Miami Dolphins
Michigan St.,offense,backs_receivers,TE,Yes,Miami Dolphins
Oregon,defense,line_backer,OLB,Yes,Miami Dolphins
Florida,defense,line_backer,ILB,Yes,Miami Dolphins
Utah St.,defense,defensive_back,CB,Yes,Miami Dolphins
Florida,special_teams,kicking_specialist,K,Yes,Miami Dolphins
North Carolina,offense,offensive_lineman,OG,Yes,Minnesota Vikings
Penn St.,defense,line_backer,OLB,Yes,Minnesota Vikings
Penn St.,defense,line_backer,OLB,Yes,Minnesota Vikings
Tennessee,offense,backs_receivers,WR,Yes,Minnesota Vikings
UCLA,offense,offensive_lineman,OG,Yes,Minnesota Vikings
Florida St.,defense,defensive_back,CB,Yes,Minnesota Vikings
Florida St.,defense,defensive_lineman,DT,Yes,Minnesota Vikings
Florida,defense,defensive_lineman,DT,Yes,Minnesota Vikings
UCLA,special_teams,kicking_specialist,P,Yes,Minnesota Vikings
Rutgers,defense,defensive_back,CB,Yes,New England Patriots
Rutgers,defense,line_backer,ILB,Yes,New England Patriots
Marshall,offense,backs_receivers,WR,Yes,New England Patriots
Illinois,defense,defensive_lineman,DE,Yes,New England Patriots
Southern Miss,defense,line_backer,OLB,Yes,New England Patriots
TCU,offense,backs_receivers,WR,Yes,New England Patriots
Ark-Pine Bluff,offense,offensive_lineman,OT,Yes,New Orleans Saints
Texas,defense,defensive_back,FS,Yes,New Orleans Saints
Oklahoma,offense,backs_receivers,WR,Yes,New Orleans Saints
Georgia,defense,defensive_lineman,DT,Yes,New Orleans Saints
Syracuse,offense,offensive_lineman,OT,Yes,New York Giants
Ohio,offense,offensive_lineman,OG,Yes,New York Giants
Syracuse,offense,backs_receivers,QB,Yes,New York Giants
Texas A&M,defense,defensive_lineman,DE,Yes,New York Giants
Ohio St.,defense,defensive_lineman,DT,Yes,New York Giants
West Virginia,offense,backs_receivers,QB,Yes,New York Jets
Missouri,defense,defensive_lineman,DT,Yes,New York Jets
Wake Forest,offense,backs_receivers,FB,Yes,New York Jets
Alabama,defense,defensive_back,CB,Yes,New York Jets
Virginia,offense,offensive_lineman,OT,Yes,New York Jets
Kent St.,offense,offensive_lineman,OG,Yes,New York Jets
Arkansas,offense,backs_receivers,QB,Yes,Oakland Raiders
Missouri Western St.,defense,defensive_lineman,DE,Yes,Oakland Raiders
Connecticut,defense,line_backer,OLB,Yes,Oakland Raiders
Oklahoma,defense,defensive_lineman,DT,Yes,Oakland Raiders
Florida St.,offense,offensive_lineman,OT,Yes,Oakland Raiders
Tennessee,offense,backs_receivers,TE,Yes,Oakland Raiders
Houston,defense,defensive_back,CB,Yes,Oakland Raiders
Colorado,offense,backs_receivers,TE,Yes,Oakland Raiders
Stanford,offense,backs_receivers,TE,Yes,Philadelphia Eagles
Utah,defense,defensive_lineman,DE,Yes,Philadelphia Eagles
Oklahoma,offense,offensive_lineman,OT,Yes,Philadelphia Eagles
North Carolina St.,defense,defensive_back,SS,Yes,Philadelphia Eagles
USC,offense,backs_receivers,QB,Yes,Philadelphia Eagles
LSU,defense,defensive_lineman,DT,Yes,Philadelphia Eagles
Oregon St.,defense,defensive_back,CB,Yes,Philadelphia Eagles
Illinois,defense,defensive_back,CB,Yes,Pittsburgh Steelers
Michigan St.,offense,backs_receivers,RB,Yes,Pittsburgh Steelers
Oklahoma,offense,backs_receivers,QB,Yes,Pittsburgh Steelers
Georgia,defense,line_backer,OLB,Yes,Pittsburgh Steelers
Syracuse,defense,defensive_back,SS,Yes,Pittsburgh Steelers
Samford,defense,defensive_lineman,DT,Yes,Pittsburgh Steelers
Oregon St.,offense,backs_receivers,WR,Yes,Pittsburgh Steelers
Florida St.,defense,defensive_lineman,DE,Yes,San Francisco 49ers
South Carolina,offense,backs_receivers,RB,Yes,San Francisco 49ers
LSU,defense,defensive_back,FS,Yes,San Francisco 49ers
Louisiana Tech,offense,backs_receivers,WR,Yes,San Francisco 49ers
Florida St.,defense,line_backer,OLB,Yes,San Francisco 49ers
Auburn,defense,defensive_lineman,DE,Yes,San Francisco 49ers
Rice,offense,backs_receivers,TE,Yes,San Francisco 49ers
Alabama,defense,defensive_lineman,DT,Yes,San Francisco 49ers
Alabama,defense,defensive_lineman,DT,Yes,Seattle Seahawks
New Hampshire,defense,defensive_lineman,DT,Yes,Seattle Seahawks
Kansas St.,offense,backs_receivers,WR,Yes,Seattle Seahawks
Harding,defense,line_backer,OLB,Yes,Seattle Seahawks
Penn St.,defense,defensive_lineman,DT,Yes,Seattle Seahawks
LSU,offense,backs_receivers,RB,Yes,Seattle Seahawks
Texas A&M,offense,backs_receivers,RB,Yes,Seattle Seahawks
LSU,defense,defensive_back,CB,Yes,Seattle Seahawks
Illinois,defense,defensive_lineman,DT,Yes,Tampa Bay Buccaneers
North Carolina St.,offense,backs_receivers,QB,Yes,Tampa Bay Buccaneers
Mississippi St.,defense,defensive_back,CB,Yes,Tampa Bay Buccaneers
Miami (FL),offense,backs_receivers,RB,Yes,Tampa Bay Buccaneers
Michigan St.,defense,defensive_lineman,DE,Yes,Tampa Bay Buccaneers
Missouri,defense,line_backer,OLB,Yes,Tennessee Titans
Connecticut,defense,defensive_back,CB,Yes,Tennessee Titans
Nebraska,defense,defensive_back,FS,Yes,Tennessee Titans
Tennessee,offense,backs_receivers,WR,Yes,Tennessee Titans
LSU,defense,defensive_lineman,DE,Yes,Tennessee Titans
Alabama,offense,offensive_lineman,OG,Yes,Tennessee Titans
California,offense,offensive_lineman,C,Yes,Tennessee Titans
North Carolina St.,defense,defensive_back,CB,Yes,Washington Redskins
Florida St.,defense,defensive_lineman,DE,Yes,Washington Redskins
Florida St.,offense,backs_receivers,RB,Yes,Washington Redskins
Rutgers,offense,backs_receivers,RB,Yes,Washington Redskins
Fresno St.,defense,defensive_back,FS,Yes,Washington Redskins
Florida,offense,backs_receivers,TE,Yes,Washington Redskins
Georgia,defense,defensive_back,FS,Yes,Washington Redskins
Notre Dame,offense,backs_receivers,TE,Yes,Arizona Cardinals
Alabama,defense,defensive_lineman,DE,Yes,Arizona Cardinals
Washington St.,defense,defensive_back,SS,Yes,Arizona Cardinals
Virginia Tech,offense,backs_receivers,QB,Yes,Arizona Cardinals
Pittsburg St.,offense,backs_receivers,WR,Yes,Arizona Cardinals
North Carolina,defense,defensive_lineman,DE,Yes,Arizona Cardinals
Purdue,defense,defensive_back,CB,Yes,Atlanta Falcons
Minnesota,defense,defensive_lineman,DT,Yes,Atlanta Falcons
Notre Dame,defense,line_backer,OLB,Yes,Atlanta Falcons
Texas A&M,offense,offensive_lineman,OT,Yes,Atlanta Falcons
Florida St.,offense,backs_receivers,RB,Yes,Atlanta Falcons
South Dakota,defense,line_backer,OLB,Yes,Atlanta Falcons
Connecticut,defense,line_backer,ILB,Yes,Atlanta Falcons
Wisconsin,defense,defensive_back,SS,Yes,Atlanta Falcons
Florida St.,defense,defensive_lineman,DT,Yes,Baltimore Ravens
Coastal Carolina,offense,backs_receivers,RB,Yes,Baltimore Ravens
Alabama,defense,line_backer,ILB,Yes,Baltimore Ravens
Virginia,defense,defensive_lineman,DE,Yes,Baltimore Ravens
Wake Forest,offense,backs_receivers,WR,Yes,Baltimore Ravens
Colorado St.,offense,backs_receivers,TE,Yes,Baltimore Ravens
Ball St.,offense,backs_receivers,QB,Yes,Baltimore Ravens
Florida St.,defense,defensive_back,FS,Yes,Baltimore Ravens
Penn St.,offense,offensive_lineman,OG,Yes,Baltimore Ravens
Louisville,defense,line_backer,ILB,Yes,Buffalo Bills
Alabama,offense,offensive_lineman,OT,Yes,Buffalo Bills
